Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.1-2020-80-6,10.0.0.2,2020,10.0.0.1,80,6,01/07/2024 07:28:06 PM,770678,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5951175458492393,770678.0,0.0,770678.0,770678.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.2975587729246196,1.2975587729246196,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1495-80-6,10.0.0.2,1495,10.0.0.1,80,6,01/07/2024 07:27:58 PM,11394,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.53098121818502,11394.0,0.0,11394.0,11394.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,87.76549060909251,87.76549060909251,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1534-80-6,10.0.0.2,1534,10.0.0.1,80,6,01/07/2024 07:27:59 PM,10116,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.70660340055358,10116.0,0.0,10116.0,10116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,98.85330170027679,98.85330170027679,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-2100-80-6,10.0.0.2,2100,10.0.0.1,80,6,01/07/2024 07:28:06 PM,423118,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72681379662411,423118.0,0.0,423118.0,423118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.363406898312055,2.363406898312055,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1567-80-6,10.0.0.2,1567,10.0.0.1,80,6,01/07/2024 07:27:59 PM,10872,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.95879323031642,10872.0,0.0,10872.0,10872.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,91.97939661515821,91.97939661515821,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3167-80-6,10.0.0.3,3167,10.0.0.1,80,6,01/07/2024 07:29:38 PM,10418,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.9754271453254,10418.0,0.0,10418.0,10418.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,95.9877135726627,95.9877135726627,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1980-80-6,10.0.0.2,1980,10.0.0.1,80,6,01/07/2024 07:28:06 PM,867308,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3059858781424825,867308.0,0.0,867308.0,867308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.1529929390712412,1.1529929390712412,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1454-80-6,10.0.0.2,1454,10.0.0.1,80,6,01/07/2024 07:27:58 PM,10318,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.8360147315371,10318.0,0.0,10318.0,10318.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,96.91800736576855,96.91800736576855,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1720-80-6,10.0.0.2,1720,10.0.0.1,80,6,01/07/2024 07:28:02 PM,10126,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.51135690302192,10126.0,0.0,10126.0,10126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,98.75567845151096,98.75567845151096,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3126-80-6,10.0.0.3,3126,10.0.0.1,80,6,01/07/2024 07:29:17 PM,10516,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.18638265500192,10516.0,0.0,10516.0,10516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,95.09319132750096,95.09319132750096,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-2149-80-6,10.0.0.2,2149,10.0.0.1,80,6,01/07/2024 07:28:07 PM,128379,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.578871933883269,128379.0,0.0,128379.0,128379.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.789435966941634,7.789435966941634,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-2061-80-6,10.0.0.2,2061,10.0.0.1,80,6,01/07/2024 07:28:06 PM,654655,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.055044259953716,654655.0,0.0,654655.0,654655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.527522129976858,1.527522129976858,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1681-80-6,10.0.0.2,1681,10.0.0.1,80,6,01/07/2024 07:28:01 PM,12571,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.09633282952828,12571.0,0.0,12571.0,12571.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,79.54816641476414,79.54816641476414,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.1-3160-80-6,10.0.0.3,3160,10.0.0.1,80,6,01/07/2024 07:29:34 PM,11070,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.6684733514002,11070.0,0.0,11070.0,11070.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,90.3342366757001,90.3342366757001,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.2-10.0.0.1-1899-80-6,10.0.0.2,1899,10.0.0.1,80,6,01/07/2024 07:28:05 PM,10376,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.75250578257518,10376.0,0.0,10376.0,10376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,96.37625289128759,96.37625289128759,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,No Label
